method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet,run_dir
gsp,3.9306791129115446,6.493433405948204,0.0901024805878,PeMS7_228,0.1,23,205,random,33,20,2026,,19.21848376962206,161.31650646842456,661.3264563366564,seed_20
gls_map,3.679659649799851,6.010050943399042,0.0844007775508537,PeMS7_228,0.1,23,205,random,33,20,2026,,379.9934696999668,1820.5315612910688,108.89825628605908,seed_20
historical_tod_mean,3.7965137195121943,6.536495322070059,0.090428141313593,PeMS7_228,0.1,23,205,random,34,20,2026,,,,,seed_20
neighbor_average,8.095944839656731,11.776525594404104,0.1856947514448118,PeMS7_228,0.1,23,205,random,34,20,2026,,,,,seed_20
gsp,3.815747235623325,6.391458480143719,0.0880168460272192,PeMS7_228,0.1,23,205,random,34,20,2026,,19.217988382107976,156.79785454595518,661.2921185222558,seed_20
gls_map,3.4704354823001093,5.798968892619576,0.0805615346363978,PeMS7_228,0.1,23,205,random,34,20,2026,,371.7115520127408,1538.594537658714,108.91955311609712,seed_20
historical_tod_mean,3.8588356199187,6.633084629030761,0.0925802868144045,PeMS7_228,0.1,23,205,random,35,20,2026,,,,,seed_20
neighbor_average,7.850417231255645,11.562085346618108,0.1929497499033998,PeMS7_228,0.1,23,205,random,35,20,2026,,,,,seed_20
gsp,3.9488337488456313,6.463500650411064,0.0906993184378367,PeMS7_228,0.1,23,205,random,35,20,2026,,19.21673311315138,155.34139640263083,661.2612057229958,seed_20
gls_map,3.856647347200505,6.230070760466032,0.0872394413074799,PeMS7_228,0.1,23,205,random,35,20,2026,,381.6050397118647,1982.936896849351,107.56390685002609,seed_20
historical_tod_mean,3.8990043191056905,6.681114387371892,0.0937817730063005,PeMS7_228,0.1,23,205,random,36,20,2026,,,,,seed_20
neighbor_average,7.843853602077687,11.681309033584634,0.1924745876651907,PeMS7_228,0.1,23,205,random,36,20,2026,,,,,seed_20
gsp,3.943250067539128,6.45588469076811,0.0933624985117492,PeMS7_228,0.1,23,205,random,36,20,2026,,19.213634979484816,161.5249536125715,661.2010559049708,seed_20
gls_map,3.644561557691642,6.0551764377256765,0.0869476625833587,PeMS7_228,0.1,23,205,random,36,20,2026,,381.5963895031656,1742.9990116411284,107.6052008327268,seed_20
historical_tod_mean,3.888811780149051,6.6828013252830925,0.0928893026974895,PeMS7_228,0.1,23,205,random,37,20,2026,,,,,seed_20
neighbor_average,7.9701657068654015,11.75422468409527,0.1941467171763153,PeMS7_228,0.1,23,205,random,37,20,2026,,,,,seed_20
gsp,4.026581834055854,6.573967779507652,0.0918995276201863,PeMS7_228,0.1,23,205,random,37,20,2026,,19.21861911668772,156.54579791453432,661.2420123598264,seed_20
gls_map,3.808834132498108,6.185904346167788,0.0877261743844947,PeMS7_228,0.1,23,205,random,37,20,2026,,384.20041204485625,1850.1257251087616,108.06727893263457,seed_20
historical_tod_mean,3.868115684281843,6.623066341835646,0.0916387178898173,PeMS7_228,0.1,23,205,random,38,20,2026,,,,,seed_20
neighbor_average,7.706650858175248,11.77421416341294,0.1904389933803968,PeMS7_228,0.1,23,205,random,38,20,2026,,,,,seed_20
gsp,3.849386678947516,6.410904287042921,0.0893763401781797,PeMS7_228,0.1,23,205,random,38,20,2026,,19.215416710667974,160.0067302497487,661.2356994509308,seed_20
gls_map,3.591778614469033,5.937414296603024,0.0856047565395546,PeMS7_228,0.1,23,205,random,38,20,2026,,388.7099622194239,2840.289645513244,107.71255615146066,seed_20
historical_tod_mean,3.8985101626016254,6.738401059094531,0.0940847629605644,PeMS7_228,0.1,23,205,random,39,20,2026,,,,,seed_20
neighbor_average,7.292670223577236,11.17995440109862,0.1927856138018576,PeMS7_228,0.1,23,205,random,39,20,2026,,,,,seed_20
gsp,3.957341954259643,6.622472050797166,0.0924364209264753,PeMS7_228,0.1,23,205,random,39,20,2026,,19.216361441414804,161.7749293218294,661.2556368731722,seed_20
gls_map,3.678905757036592,6.215075604259829,0.0872390498107213,PeMS7_228,0.1,23,205,random,39,20,2026,,366.7213597309341,1899.143232898199,110.14359403168716,seed_20
historical_tod_mean,3.8556822493224927,6.622258845709348,0.0929307634337667,PeMS7_228,0.1,23,205,random,40,20,2026,,,,,seed_20
neighbor_average,7.786160230352304,11.524075476428456,0.1948619377144891,PeMS7_228,0.1,23,205,random,40,20,2026,,,,,seed_20
gsp,3.919032658867765,6.433957473094924,0.0909305713320046,PeMS7_228,0.1,23,205,random,40,20,2026,,19.21529875057413,157.1994490781973,661.2584061686289,seed_20
gls_map,3.678303739545379,6.040367116215701,0.0849734413383953,PeMS7_228,0.1,23,205,random,40,20,2026,,364.5728648046646,1902.2499249037191,110.7811576563185,seed_20
historical_tod_mean,3.938421451558266,6.767679500342768,0.0955645547014698,PeMS7_228,0.1,23,205,random,41,20,2026,,,,,seed_20
neighbor_average,7.412062443541101,11.393667476076567,0.2012134541412994,PeMS7_228,0.1,23,205,random,41,20,2026,,,,,seed_20
gsp,3.931925760301986,6.558621572715109,0.0931706192873615,PeMS7_228,0.1,23,205,random,41,20,2026,,19.21611487174264,160.00456975726334,661.2544697494487,seed_20
